iter	Logloss
0	0.6854345301
1	0.6787848572
2	0.6726661074
3	0.6664797771
4	0.6605277426
5	0.655081565
6	0.6499014874
7	0.6441748824
8	0.6395070691
9	0.6341632675
10	0.6297196645
11	0.6260609156
12	0.6217129721
13	0.6182363397
14	0.6141048295
15	0.6104373155
16	0.6066311153
17	0.6029826256
18	0.5996900019
19	0.5961913612
20	0.5930874604
21	0.5901004054
22	0.58706436
23	0.5838671892
24	0.5813645622
25	0.5786979053
26	0.5755464746
27	0.5730424227
28	0.5703753709
29	0.5679457985
30	0.5649907597
31	0.5626248119
32	0.5604614272
33	0.5581698473
34	0.5557337805
35	0.5540856446
36	0.5521224853
37	0.5504122206
38	0.5480669538
39	0.546395865
40	0.5445630179
41	0.5425307066
42	0.5407879595
43	0.5394076923
44	0.537303894
45	0.5357311251
46	0.5341119425
47	0.5326574251
48	0.530861038
49	0.5293820002
50	0.5274074656
51	0.5262132638
52	0.524642124
53	0.5231224128
54	0.5216551415
55	0.5204380454
56	0.519475969
57	0.5179722743
58	0.5170246908
59	0.516276418
60	0.5149183332
61	0.5139647922
62	0.5130820185
63	0.5118712868
64	0.5106461863
65	0.5092649445
66	0.5084471833
67	0.5074802884
68	0.5065939318
69	0.5055690261
70	0.5046434902
71	0.5036294888
72	0.5026699531
73	0.5014730865
74	0.5006510486
75	0.4999499367
76	0.4989963868
77	0.4982226263
78	0.4973100166
79	0.4964815579
80	0.4954648228
81	0.4944662122
82	0.4936992129
83	0.4927476562
84	0.4920086577
85	0.4912155497
86	0.4907153544
87	0.4901055212
88	0.4892554093
89	0.4883991898
90	0.4876174833
91	0.4869636855
92	0.4862765677
93	0.4856517545
94	0.4850212355
95	0.4843302101
96	0.4836575856
97	0.4830445175
98	0.4823999105
99	0.4819419039
100	0.4813491333
101	0.4807621671
102	0.4801260672
103	0.4795659175
104	0.479132928
105	0.4785279627
106	0.4781146907
107	0.4774426434
108	0.4769259707
109	0.4765231566
110	0.4759537403
111	0.4755497722
112	0.475090276
113	0.4745767073
114	0.4739572269
115	0.4734625966
116	0.4731947842
117	0.4726132244
118	0.4718590084
119	0.4713696711
120	0.4709211458
121	0.4704681431
122	0.4701752655
123	0.4695963088
124	0.4691577434
125	0.4687150499
126	0.4681304889
127	0.4676541209
128	0.4673143861
129	0.4668445572
130	0.4663211667
131	0.4657563108
132	0.4654192823
133	0.4651343858
134	0.4647177401
135	0.4643773997
136	0.4640768637
137	0.4637487717
138	0.4634083928
139	0.4629212109
140	0.4626379063
141	0.4623161488
142	0.4619566939
143	0.4614120615
144	0.4609209831
145	0.4605731876
146	0.460199526
147	0.4598757841
148	0.4596141017
149	0.4592943426
150	0.459004493
151	0.4586036328
152	0.4582211926
153	0.4578515924
154	0.4574593049
155	0.4570697448
156	0.4567317991
157	0.4565031496
158	0.456183132
159	0.4558947842
160	0.4554493475
161	0.4550257078
162	0.4546064429
163	0.454256165
164	0.4537802408
165	0.4535241256
166	0.4531923106
167	0.4528430082
168	0.4524686005
169	0.4521960843
170	0.4518175228
171	0.4513335649
172	0.4509663411
173	0.4507918946
174	0.4500384969
175	0.4497762894
176	0.4494597213
177	0.4492079867
178	0.448866016
179	0.4484973357
180	0.4482739404
181	0.4479754819
182	0.4476500627
183	0.4473017818
184	0.4470590399
185	0.4468015156
186	0.4464695921
187	0.4462692116
188	0.4460053901
189	0.4457129631
190	0.4453564684
191	0.4451558269
192	0.4448833286
193	0.4445764613
194	0.4441259933
195	0.4437388842
196	0.4434637699
197	0.4431724804
198	0.4429193877
199	0.4425982656
200	0.4422719473
201	0.4421023521
202	0.4417276187
203	0.4414825119
204	0.4410378178
205	0.4405705863
206	0.4403329353
207	0.4402447982
208	0.4398296332
209	0.4395644599
210	0.4390924929
211	0.4389031026
212	0.4386016688
213	0.4383821006
214	0.4382099406
215	0.437930136
216	0.4377912692
217	0.4374726936
218	0.4372546809
219	0.437003306
220	0.4368143209
221	0.4365949386
222	0.436048267
223	0.4357057045
224	0.435381048
225	0.4352123417
226	0.4349011627
227	0.4346147142
228	0.4345105384
229	0.434220914
230	0.4340246402
231	0.4337484877
232	0.4333522156
233	0.4330916962
234	0.4328415121
235	0.4325535833
236	0.4323304621
237	0.4320418073
238	0.4317405448
239	0.4315063538
240	0.4310898332
241	0.430900264
242	0.430717208
243	0.4304699181
244	0.4302661839
245	0.4301212837
246	0.42982837
247	0.4296741726
248	0.429427636
249	0.4292204659
250	0.4289848237
251	0.4288221598
252	0.4285619276
253	0.4283944502
254	0.4281676372
255	0.4278262053
256	0.4275901759
257	0.4273804199
258	0.4271317688
259	0.4269924711
260	0.4268443987
261	0.4264944397
262	0.4262992518
263	0.426120685
264	0.4258392845
265	0.4256264081
266	0.4253318395
267	0.4251210734
268	0.4248935525
269	0.4246228979
270	0.4242470238
271	0.4240043767
272	0.4236889671
273	0.4233697962
274	0.4231251307
275	0.4228220789
276	0.422616456
277	0.4223817138
278	0.4221667726
279	0.4219773196
280	0.4218088203
281	0.4215880315
282	0.4213761118
283	0.4212158344
284	0.4210591193
285	0.4208491233
286	0.420615784
287	0.420447402
288	0.4202225488
289	0.4199722095
290	0.4198072396
291	0.4195444656
292	0.4193111615
293	0.4189336174
294	0.418717318
295	0.4185139734
296	0.4184238652
297	0.4181853478
298	0.4177890843
299	0.4174852804
300	0.4172557271
301	0.4170381496
302	0.4167369591
303	0.416476522
304	0.4162065009
305	0.4159945755
306	0.4158153524
307	0.4154178812
308	0.4153551978
309	0.4151304975
310	0.4149259422
311	0.4147244041
312	0.4145588158
313	0.414269172
314	0.4140910928
315	0.4138943922
316	0.4137118893
317	0.4134901102
318	0.413325968
319	0.4129986093
320	0.4127914079
321	0.4126984369
322	0.4124268762
323	0.4122296919
324	0.4120503558
325	0.4119644671
326	0.411640697
327	0.4114590735
328	0.411261478
329	0.411149267
330	0.4108226311
331	0.4106017516
332	0.4103461963
333	0.4100759831
334	0.4097058573
335	0.4095004085
336	0.4092335198
337	0.4089367135
338	0.408578363
339	0.4084947499
340	0.4084220437
341	0.4081682369
342	0.4080018503
343	0.4078789439
344	0.4076342768
345	0.4074357394
346	0.4072331143
347	0.407118829
348	0.4069740217
349	0.4066988576
350	0.4065047075
351	0.4063438225
352	0.4061854546
353	0.4058627092
354	0.4056010714
355	0.4054860634
356	0.4053062038
357	0.4050748479
358	0.4047287844
359	0.4045983734
360	0.4045139742
361	0.4043315734
362	0.4039649843
363	0.4037663474
364	0.4035421457
365	0.4033344734
366	0.403113545
367	0.4029037336
368	0.4027011637
369	0.4025444439
370	0.4023492574
371	0.4021051973
372	0.4018908198
373	0.4016148103
374	0.4014746367
375	0.4012600368
376	0.4011111918
377	0.4009198872
378	0.4006652309
379	0.4005648701
380	0.4002903007
381	0.4001741793
382	0.3999778956
383	0.3998058019
384	0.3996746336
385	0.399535541
386	0.3995027437
387	0.3993882756
388	0.3990308755
389	0.3986020974
390	0.3982929281
391	0.3980868777
392	0.3978495921
393	0.3976760679
